Month,FII_Net_Buy_Sell_RsCr,DII_Net_Buy_Sell_RsCr,Nifty_Closing,SIP_Contribution_RsCr
Jan-24,-35977.81,26743.59,21725.7,18838
Feb-24,-15962.72,25379.3,21982.8,19187
Mar-24,3314.47,56311.6,22326.9,19271
Apr-24,-35692.19,44186.28,22604.85,20371
May-24,-42214.28,55733.04,22530.7,20904
Jun-24,2037.47,28633.15,24010.6,21262
Jul-24,5407.83,23486.02,24951.15,23332
Aug-24,-21368.51,48278.65,25235.9,23547
Sep-24,15423.32,31860.23,25810.85,24509
Oct-24,-114445.89,107254.68,24205.35,25323
Nov-24,-45974.12,44483.86,24131.1,25320
Dec-24,-16982.48,34194.73,23644.8,26459
Jan-25,-87374.66,86591.8,23508.4,26400
Feb-25,-58988.08,64853.19,22124.7,25999
Mar-25,2014.18,37585.68,23519.35,25926
Apr-25,2735.02,28228.45,24334.2,26632
May-25,11773.25,67642.34,24750.7,26688
Jun-25,7488.98,72673.91,25517.05,27269
Jul-25,-47666.68,60939.16,24768.35,28464
Aug-25,-46902.92,94828.55,24426.85,28265
Sep-25,-35301.36,65343.59,24611.1,29361
Oct-25,-2346.89,52794.02,25722.1,29529
Nov-25,-17500.31,77083.78,26202.95,29445
Dec-25,-34349.62,79619.91,26129.6,31002
Jan-26,-41435.22,69220.74,25320.65,31002
Feb-26,-6640.78,38423.11,25178.65,29845
Mar-26,-122540.41,142960.37,22331.4,32087
Apr-26,-70135.46,51063.87,23997.55,31115
May-26,-21842.13,42599.5,23649.95,
